Minutes;Num_sports
180;1
180;1
300;2
0;1
0;0
600;2
270;1
180;1
0;0
360;2
150;2
7;1
300;1
0;0
240;2
0;0
480;1
60;1
540;3+
180;1
60;1
180;2
0;2
65;2
200;2
180;1
340;2
0;1
120;2
365;3+
1080;3+
0;1
180;1
180;1
420;2
0;0
240;1
180;3+
0;0
260;1
0;0
60;1
1350;1
120;1
120;2
0;1
8;1
5;2
0;1
0;0
0;0
240;1
150;1
360;2
240;2
180;1
0;1
0;1
240;2
300;3+
0;1
60;1
180;2
300;1
80;2
0;1
480;1
420;1
0;0
0;0
60;1
230;2
180;1
420;1
180;1
0;1
180;1
200;1
240;1
240;1
120;1
300;3+
150;1
0;0
840;3+
150;2
300;1
240;2
400;1
480;2
0;2
180;1
1200;3+
120;1
4;1
250;2
180;2
400;2
600;2
200;3+
600;3+
360;3+
600;3+
180;1
240;2
400;3+
300;2
0;0
360;2
180;2
480;2
120;3+
840;3+
120;2
260;2
480;2
240;2
200;1
180;2
480;2
300;2
240;2
600;3+
1200;2
840;3+
180;1
360;3+
210;1
180;1
480;3+
600;3+
600;2
250;3+
420;2
420;3+
600;3+
400;2
350;1
600;2
280;1
180;2
300;2
180;3+
450;2
265;1
300;2
500;2
480;2
330;2
480;3+
360;1
120;1
0;3+
180;2
330;1
400;2
0;0
180;2
160;2
360;3+
240;1
60;1
210;2
60;3+
480;2
120;1
480;1
480;2
180;1
300;3+
300;3+
400;2
